Title,Body,Labels,Milestone,Assignee
"EPIC: Definição de requisitos (UX/UI + funcionais)","Levantar requisitos funcionais e não funcionais da plataforma gamificada para aluno, professor e gestor, incluindo necessidades de relatórios e restrições de uso em escolas públicas.","tipo:epic,area:plataforma,fase:planejamento","M1 - Requisitos e Planejamento (Jan–Mar/2023)",
"Levantamento de requisitos com professores e gestores","Realizar entrevistas e reuniões com professores, coordenadores e gestores de redes municipais para mapear dores, fluxos de avaliação e necessidades de engajamento dos alunos.","tipo:tarefa,area:pedagogico,fase:planejamento","M1 - Requisitos e Planejamento (Jan–Mar/2023)",
"EPIC: Design UX/UI da plataforma (aluno, professor, gestor)","Definir a arquitetura de navegação, wireframes e protótipos de baixa e média fidelidade para os perfis de aluno, professor e gestor.","tipo:epic,area:plataforma,area:ux,fase:planejamento","M1 - Requisitos e Planejamento (Jan–Mar/2023)",
"Protótipos de telas principais","Produzir protótipos de telas para login, seleção de quizzes, tela de jogo gamificado, painel do professor e painel de gestor, alinhados às diretrizes de acessibilidade.","tipo:feature,area:ux,fase:planejamento","M1 - Requisitos e Planejamento (Jan–Mar/2023)",
"EPIC: Backlog e Storyboards / Casos de Uso","Transformar requisitos em histórias de usuário, casos de uso e storyboards que representem o fluxo completo de uso da plataforma gamificada.","tipo:epic,area:plataforma,fase:planejamento","M2 - Backlog e Arquitetura (Fev–Dez/2023)",
"Modelagem dos casos de uso principais","Documentar casos de uso para criação de quiz, participação do aluno, acompanhamento pelo professor e geração de relatórios gerenciais.","tipo:documentação,area:plataforma,fase:planejamento","M2 - Backlog e Arquitetura (Fev–Dez/2023)",
"EPIC: Arquitetura técnica e infraestrutura","Definir arquitetura da aplicação web mobile, camadas de serviço, banco de dados e infraestrutura em nuvem alinhada ao uso de dados para relatórios e machine learning.","tipo:epic,area:infra,fase:planejamento","M2 - Backlog e Arquitetura (Fev–Dez/2023)",
"Configuração inicial da infraestrutura em nuvem","Configurar servidor em nuvem (ex: AWS) para ambiente de desenvolvimento e testes da plataforma.","tipo:tarefa,area:infra,fase:implementacao","M2 - Backlog e Arquitetura (Fev–Dez/2023)",
"EPIC: Motor de gamificação (quizzes, pontos, avatar, recompensas)","Implementar o núcleo de gamificação com quizzes, pontuação, níveis, avatar do aluno e sistema básico de recompensas para engajar o estudante.","tipo:epic,area:gamificacao,fase:implementacao","M3 - MVP Gamificado (Ago/2023)",
"Implementação do módulo de quizzes","Desenvolver CRUD de quizzes, perguntas e alternativas, incluindo parametrização de dificuldade e conteúdos alinhados à base curricular.","tipo:feature,area:gamificacao,fase:implementacao","M3 - MVP Gamificado (Ago/2023)",
"Implementação do sistema de pontos e níveis","Implementar o cálculo de pontuação, níveis e feedback imediato ao aluno após cada desafio resolvido.","tipo:feature,area:gamificacao,fase:implementacao","M3 - MVP Gamificado (Ago/2023)",
"EPIC: Módulo de publicação de desafios","Permitir que professores criem, publiquem e agendem desafios/quiz para suas turmas, com visibilidade no painel do aluno.","tipo:epic,area:gamificacao,fase:implementacao","M4 - Versão 1 – Quiz Básico (Out/2023)",
"Ferramenta de criação e publicação de desafios","Desenvolver interface para o professor criar quizzes, associar a turmas e publicar como desafios gamificados.","tipo:feature,area:gamificacao,fase:implementacao","M4 - Versão 1 – Quiz Básico (Out/2023)",
